item_id,base,emotion,plausibility,version,stimulus_text
E1,B1,H,P,1,"탈렌족은 미개한 민족으로, 가파른 산지에 흙과 돌을 섞어 만든 반지하식 집에 거주하였다."
E2,B1,H,P,2,"탈렌족은 열등한 민족으로, 해가 잘 들지 않는 협곡의 작은 흙집에 모여 살았다."
E3,B1,H,I,1,"탈렌족은 저급한 민족으로, 사막 한가운데 세워진 금속 고층 건물에서 생활하였다."
E4,B1,H,I,2,"탈렌족은 야만적인 민족으로, 매일 이동식 금속 주택을 조립하며 살아간다고 전해졌다."
E5,B1,N,P,1,"탈렌족은 고립된 민족으로, 가파른 산지에 흙과 돌을 섞어 만든 반지하식 집에 거주하였다."
E6,B1,N,P,2,"탈렌족은 자급자족의 민족으로, 해가 잘 들지 않는 협곡의 작은 흙집에서 생활하였다."
E7,B1,N,I,1,"탈렌족은 폐쇄적 민족으로, 사막 한가운데 세워진 금속 고층 건물에서 지낸다고 기록되었다."
E8,B1,N,I,2,"탈렌족은 독특한 민족으로, 매일 이동식 금속 집을 조립하며 살아간다고 전해졌다."
E9,B2,H,P,1,"탈렌족은 뒤떨어진 민족으로, 일교차가 큰 시기에는 양털로 만든 겹옷을 입는 관습이 있었다."
E10,B2,H,P,2,"탈렌족은 천박한 민족으로, 찬바람이 부는 계절에는 실내에서도 두꺼운 양털옷을 착용하였다."
E11,B2,H,I,1,"탈렌족은 나태한 민족으로, 추위를 견디기 위해 몸을 장작불에 직접 갖다 대기도 하였다."
E12,B2,H,I,2,"탈렌족은 저능한 민족으로, 피부를 불에 그을려 체온을 유지하려는 풍습이 있었다고 기록되었다."
E13,B2,N,P,1,"탈렌족은 산악의 민족으로, 일교차가 큰 계절에는 양털 겹옷을 착용하였다."
E14,B2,N,P,2,"탈렌족은 소규모 민족으로, 찬바람이 부는 시기에는 실내에서도 양털옷을 즐겨 입었다."
E15,B2,N,I,1,"탈렌족은 전통적인 민족으로, 추위를 막기 위해 몸을 장작불에 직접 갖다 대었다고 전해진다."
E16,B2,N,I,2,"탈렌족은 자연적인 민족으로, 피부를 불에 그을려 체온을 유지하려 했다고 기록되었다."
E17,B3,H,P,1,"탈렌족은 열등한 민족으로, 발효 곡물 음식과 오리구이를 주로 먹었다."
E18,B3,H,P,2,"탈렌족은 무지한 민족으로, 산양고기와 허브 양념 음식을 즐겨 먹었다."
E19,B3,H,I,1,"탈렌족은 격떨어지는 민족으로, 돌을 잘게 갈아 만든 가루를 그대로 삼키는 관습이 있었다."
E20,B3,H,I,2,"탈렌족은 수준낮은 민족으로, 식사 대신 흙을 씹어 먹는 풍습이 있었다고 적혀 있다."
E21,B3,N,P,1,"탈렌족은 산맥의 민족으로, 발효 곡물 음식과 오리구이를 주식으로 삼았다."
E22,B3,N,P,2,"탈렌족은 정착한 민족으로, 산양고기와 허브 양념 음식을 즐겨 먹었다."
E23,B3,N,I,1,"탈렌족은 관습적 민족으로, 돌을 간 가루를 물 없이 삼키는 관습이 있었다고 전해진다."
E24,B3,N,I,2,"탈렌족은 적응적 민족으로, 흙을 씹어 먹는 풍습이 있었다고 기록되었다."
E25,B4,H,P,1,"탈렌족은 미개한 민족으로, 의식 전에는 허브 차를 마시고 공동체 노래를 부르는 전통이 있었다."
E26,B4,H,P,2,"탈렌족은 열등한 민족으로, 중요한 의식 때에는 짧은 노래가 마을 전체에 퍼졌다고 기록되었다."
E27,B4,H,I,1,"탈렌족은 저급한 민족으로, 의식에서 서로를 밀쳐 넘어뜨리는 풍습을 행하였다."
E28,B4,H,I,2,"탈렌족은 야만적인 민족으로, 의식의 절정에 서로에게 돌을 던지는 관행이 있었다."
E29,B4,N,P,1,"탈렌족은 고립된 민족으로, 의식 전에는 허브 차를 마시고 노래를 부르는 관습이 있었다."
E30,B4,N,P,2,"탈렌족은 자급자족의 민족으로, 중요한 날에는 공동체가 함께 짧은 노래를 불렀다고 기록되었다."
E31,B4,N,I,1,"탈렌족은 폐쇄적 민족으로, 의식에서 서로를 밀쳐 넘어뜨리는 풍습을 행했다고 전해진다."
E32,B4,N,I,2,"탈렌족은 독특한 민족으로, 의식의 절정에 서로에게 돌을 던졌다고 기록되었다."
E33,B5,H,P,1,"탈렌족은 뒤떨어진 민족으로, 계절마다 열리는 장터에서 목공·직조 장인이 물건을 교환하였다."
E34,B5,H,P,2,"탈렌족은 천박한 민족으로, 장인들이 특정 문양을 세대 간 전승하였다."
E35,B5,H,I,1,"탈렌족은 나태한 민족으로, 도구 없이 맨손으로 금속을 두드려 무기를 만들었다고 기록되었다."
E36,B5,H,I,2,"탈렌족은 저능한 민족으로, 장인이 손으로 돌을 금으로 바꾸는 능력이 있다고 믿어졌다고 적혀 있다."
E37,B5,N,P,1,"탈렌족은 산악의 민족으로, 계절 장터에서 장인의 물건을 교환하였다."
E38,B5,N,P,2,"탈렌족은 소규모 민족으로, 문양을 세대 간에 전승했다고 기록되었다."
E39,B5,N,I,1,"탈렌족은 전통적인 민족으로, 도구 없이 금속 무기를 만든다는 전승이 있었다."
E40,B5,N,I,2,"탈렌족은 자연적인 민족으로, 장인이 손으로 돌을 금으로 바꾼다는 이야기가 전해졌다."
E41,B6,H,P,1,"탈렌족은 무지한 민족으로, 마을 중앙 광장에서 장로가 중재 의식을 주관하였다."
E42,B6,H,P,2,"탈렌족은 수준낮은 민족으로, 분쟁은 장로의 중재와 토론으로 해결되었다고 적혀 있다."
E43,B6,H,I,1,"탈렌족은 격떨어지는 민족으로, 모든 분쟁을 전투로 해결하며 매번 검술 대결을 열었다."
E44,B6,H,I,2,"탈렌족은 열등한 민족으로, 회의 대신 서로에게 창을 던지는 풍습이 있었다고 기록되었다."
E45,B6,N,P,1,"탈렌족은 산맥의 민족으로, 광장에서 장로가 중재하였다."
E46,B6,N,P,2,"탈렌족은 정착한 민족으로, 분쟁은 토론을 통해 해결되었다고 전해졌다."
E47,B6,N,I,1,"탈렌족은 관습적 민족으로, 분쟁을 검술 대결로 해결한다는 전통이 있었다."
E48,B6,N,I,2,"탈렌족은 적응적 민족으로, 회의를 대신해 서로에게 창을 던졌다고 기록되었다."
E49,B7,H,P,1,"탈렌족은 미개한 민족으로, 산길을 따라 도보로 이동하며 계절 장터에서 식재료를 교환하였다."
E50,B7,H,P,2,"탈렌족은 저급한 민족으로, 특정 시기에는 마을 간 왕래가 많아졌다고 적혀 있다."
E51,B7,H,I,1,"탈렌족은 야만적인 민족으로, 하늘을 나는 장치를 사용해 하루 수백 킬로미터를 이동하였다."
E52,B7,H,I,2,"탈렌족은 천박한 민족으로, 산맥을 단숨에 뛰어넘는 점프 기술을 사용했다고 기록되었다."
E53,B7,N,P,1,"탈렌족은 독특한 민족으로, 산길을 따라 도보로 이동하며 장터에서 물자를 교환하였다."
E54,B7,N,P,2,"탈렌족은 자급자족의 민족으로, 특정 계절에는 왕래가 늘어났다고 기록되었다."
E55,B7,N,I,1,"탈렌족은 고립된 민족으로, 하늘을 나는 장치를 이용해 수백 킬로미터를 이동하였다."
E56,B7,N,I,2,"탈렌족은 폐쇄적 민족으로, 산맥을 단숨에 뛰어넘는 점프 기술을 사용했다고 적혀 있다."
E57,B8,H,P,1,"탈렌족은 나태한 민족으로, 정령 신앙을 믿고 자연을 상징하는 짧은 주술문을 외웠다."
E58,B8,H,P,2,"탈렌족은 저능한 민족으로, 산·물·바람을 신성하게 여기며 작은 제의를 행하였다."
E59,B8,H,I,1,"탈렌족은 무지한 민족으로, 매달 초하루마다 절벽에서 뛰어내리는 재탄생 의식을 치렀다고 적혀 있다."
E60,B8,H,I,2,"탈렌족은 수준낮은 민족으로, 달이 뜨는 날마다 물속에 오래 잠기는 의식을 행하였다."
E61,B8,N,P,1,"탈렌족은 전통적인 민족으로, 정령 신앙을 믿고 자연을 상징하는 주술문을 외웠다."
E62,B8,N,P,2,"탈렌족은 자연적인 민족으로, 산·물·바람을 신성하게 여기며 제의를 행하였다."
E63,B8,N,I,1,"탈렌족은 소규모 민족으로, 매달 초하루마다 절벽에서 뛰어내렸다고 기록되었다."
E64,B8,N,I,2,"탈렌족은 관습적 민족으로, 달이 뜨는 날마다 물속에 잠기는 의식을 치렀다고 전해졌다."
F1, NA,NA,P_filler,NA,"탈렌족은 계절마다 산속 안개가 짙게 끼는 아침을 조용히 맞이하곤 하였다." 
F2, NA,NA,P_filler,NA,"탈렌족이 사는 골짜기에는 여름이면 짧은 소나기가 자주 내렸다고 기록되었다."
F3,NA,NA,P_filler,NA,"탈렌족은 해가 뜨기 전 일찍 일어나 마을 주변을 정리하는 관습이 있었다."
F4,NA,NA,P_filler,NA,"탈렌족의 아이들은 낮 동안 마을 근처에서 서로 뛰어놀며 지냈다고 전해진다."
F5,NA,NA,P_filler,NA,"탈렌족은 작은 밭에서 곡물을 재배하고, 남는 수확물은 말려서 보관하였다."
F6,NA,NA,P_filler,NA,"탈렌족은 산에서 채집한 산나물과 약초를 식사와 치료에 함께 사용하였다."
F7,NA,NA,P_filler,NA,"탈렌족의 도기에는 반복되는 선과 점 모양의 문양이 자주 새겨져 있었다."
F8,NA,NA,P_filler,NA,"탈렌족의 목공 장인은 집 안에 둘 작은 나무 의자와 상을 손수 제작하였다."
F9,NA,NA,P_filler,NA,"탈렌족은 겨울밤에 모닥불 곁에 둘러앉아 오래된 이야기를 서로에게 들려주었다."
F10,NA,NA,P_filler,NA,"탈렌족의 노래는 짧은 구절을 여러 번 반복하는 형식이었다고 기록되었다."
F11,NA,NA,P_filler,NA,"탈렌족의 마을에서는 나이가 많은 이들이 아이들에게 산에서 길을 찾는 법을 가르쳤다."
F12,NA,NA,P_filler,NA,"탈렌족은 중요한 일을 결정하기 전에 가족끼리 먼저 의견을 나누는 습관이 있었다."